iter	RMSE
0	3.251329204
1	3.251124432
2	3.250951882
3	3.250806337
4	3.250725946
5	3.250579037
6	3.250409857
7	3.250267205
8	3.250148385
9	3.249969914
10	3.249859117
11	3.249692055
12	3.249551973
13	3.249390249
14	3.249203112
15	3.249048138
16	3.248910573
17	3.248770117
18	3.248616607
19	3.24844556
20	3.248282652
21	3.248150702
22	3.24804532
23	3.247888235
24	3.247711612
25	3.247549044
26	3.247435953
27	3.247279519
28	3.247220243
29	3.247144078
30	3.247093567
31	3.246938774
32	3.246812577
33	3.246664128
34	3.246579092
35	3.246494618
36	3.246393546
37	3.246227434
38	3.246172508
39	3.246047811
40	3.245917734
41	3.245775682
42	3.245675371
43	3.245531614
44	3.245425149
45	3.245339389
46	3.245271921
47	3.245149535
48	3.245001336
49	3.244906296
50	3.244818872
51	3.244739038
52	3.244579455
53	3.244451081
54	3.244332915
55	3.244206544
56	3.244159051
57	3.244013956
58	3.243924972
59	3.243874539
60	3.243793033
61	3.243753612
62	3.243595423
63	3.243537215
64	3.243382424
65	3.243261965
66	3.243167689
67	3.243044776
68	3.242937595
69	3.242786528
70	3.242739871
71	3.242671326
72	3.242505536
73	3.242434586
74	3.242289562
75	3.242176818
76	3.242043077
77	3.241966207
78	3.241846288
79	3.241715671
80	3.241605108
81	3.241477261
82	3.2413789
83	3.241327857
84	3.241306132
85	3.241180207
86	3.241097825
87	3.241020239
88	3.240965236
89	3.240884173
90	3.240795032
91	3.240748137
92	3.240685878
93	3.240583819
94	3.240534428
95	3.24043813
96	3.240295525
97	3.240202091
98	3.240133512
99	3.240033789
100	3.239940932
101	3.239811645
102	3.239732677
103	3.239614095
104	3.239500455
105	3.239378836
106	3.239246547
107	3.239145574
108	3.239080117
109	3.23896926
110	3.238892825
111	3.23877241
112	3.238678794
113	3.238591245
114	3.238527704
115	3.238461255
116	3.238366233
117	3.238233994
118	3.238197917
119	3.23816244
120	3.238077283
121	3.237988091
122	3.237850364
123	3.237808861
124	3.23773158
125	3.237635229
126	3.237570774
127	3.23745588
128	3.237419431
129	3.237326484
130	3.237273508
131	3.237167361
132	3.237092513
133	3.237031151
134	3.236982678
135	3.23693012
136	3.236892246
137	3.236772905
138	3.236668658
139	3.236619082
140	3.236558106
141	3.236511281
142	3.236453582
143	3.2363586
144	3.236295053
145	3.236193556
146	3.236142802
147	3.236048406
148	3.235982584
149	3.235919682
150	3.235886519
151	3.235789387
152	3.235747449
153	3.235659223
154	3.235590405
155	3.235503085
156	3.235478233
157	3.23538479
158	3.235330065
159	3.235265978
160	3.235180208
161	3.235119305
162	3.235032681
163	3.234948653
164	3.23483212
165	3.23475836
166	3.234713244
167	3.234601969
168	3.234519613
169	3.234376302
170	3.234324752
171	3.234273819
172	3.234197404
173	3.234117253
174	3.234114568
175	3.234019411
176	3.233964773
177	3.233926549
178	3.233895874
179	3.233798
180	3.233682669
181	3.233583154
182	3.233496466
183	3.233429035
184	3.233341146
185	3.233286431
186	3.233187477
187	3.233142934
188	3.233088875
189	3.233041469
190	3.23300197
191	3.23293
192	3.232820265
193	3.232741036
194	3.23264872
195	3.232612216
196	3.232513256
197	3.232464281
198	3.232405531
199	3.232370484
200	3.232292858
201	3.232196231
202	3.232129406
203	3.232062097
204	3.23194491
205	3.231841688
206	3.231786608
207	3.231730161
208	3.231610207
209	3.231529963
210	3.231433508
211	3.231374933
212	3.231266186
213	3.231197083
214	3.231169825
215	3.231132183
216	3.23104895
217	3.231002063
218	3.230972021
219	3.230909781
220	3.230836772
221	3.230733177
222	3.230590204
223	3.230478118
224	3.230441972
225	3.230404127
226	3.230337266
227	3.230261902
228	3.230209371
229	3.230118689
230	3.230062026
231	3.229955028
232	3.229883304
233	3.229775601
234	3.229699916
235	3.229605457
236	3.229549608
237	3.2294796
238	3.229373258
239	3.229230949
240	3.229118208
241	3.228984354
242	3.228906776
243	3.228871583
244	3.228778014
245	3.228750169
246	3.2287244
247	3.228597033
248	3.228503129
249	3.228406765
250	3.228372518
251	3.228342909
252	3.228264072
253	3.228219847
254	3.228167274
255	3.228113845
256	3.228068461
257	3.227953373
258	3.227847451
259	3.227768954
260	3.227653418
261	3.22759946
262	3.227504237
263	3.227480948
264	3.227383351
265	3.227318554
266	3.227243148
267	3.227223153
268	3.227128921
269	3.227053986
270	3.227018375
271	3.226975219
272	3.226928578
273	3.226909202
274	3.226861712
275	3.226754379
276	3.226652422
277	3.22656198
278	3.226453208
279	3.226399788
280	3.226363455
281	3.226233985
282	3.226181655
283	3.226158343
284	3.226139647
285	3.225950777
286	3.225927084
287	3.225838869
288	3.225789102
289	3.225721995
290	3.225678942
291	3.225640052
292	3.22557827
293	3.225479753
294	3.225431849
295	3.225386109
296	3.225262449
297	3.225232163
298	3.225206114
299	3.225101819
300	3.225026606
301	3.224956471
302	3.224855454
303	3.224775724
304	3.224747227
305	3.224683394
306	3.224641983
307	3.224594577
308	3.224536719
309	3.224484963
310	3.224342524
311	3.224259941
312	3.224180985
313	3.224129894
314	3.224020949
315	3.223952296
316	3.223897961
317	3.223868141
318	3.223775604
319	3.223714837
320	3.223687961
321	3.223612922
322	3.223512278
323	3.223428271
324	3.22339268
325	3.223343683
326	3.223258567
327	3.223170929
328	3.223145451
329	3.223104245
330	3.223077922
331	3.223025069
332	3.222911194
333	3.222861318
334	3.222792706
335	3.222712153
336	3.222607208
337	3.222549519
