iter	RMSE
0	3.261217741
1	3.260943622
2	3.260691953
3	3.260401431
4	3.260254534
5	3.260017288
6	3.25989638
7	3.259630511
8	3.259356681
9	3.25900078
10	3.258798425
11	3.258371223
12	3.25808573
13	3.257854273
14	3.257572762
15	3.257337328
16	3.257056365
17	3.256782922
18	3.256416862
19	3.256156004
20	3.255921078
21	3.255725875
22	3.255461778
23	3.255186099
24	3.254925761
25	3.254658431
26	3.254412943
27	3.254195195
28	3.254018636
29	3.253757404
30	3.253527154
31	3.253333432
32	3.253043619
33	3.252869234
34	3.252656683
35	3.252466776
36	3.252236469
37	3.252025187
38	3.251923668
39	3.251756496
40	3.251401537
41	3.251194855
42	3.250966036
43	3.25072851
44	3.250691027
45	3.250578985
46	3.25035831
47	3.250121592
48	3.249921144
49	3.249719367
50	3.249510966
51	3.249286185
52	3.249032495
53	3.248769803
54	3.248559872
55	3.248477519
56	3.248258203
57	3.24803728
58	3.247824065
59	3.247587442
60	3.247368109
61	3.247151927
62	3.246933438
63	3.246739954
64	3.246499278
65	3.246271404
66	3.246080337
67	3.246038124
68	3.245839472
69	3.245666883
70	3.24546123
71	3.245259111
72	3.245085729
73	3.244998613
74	3.244813105
75	3.244623392
76	3.244436822
77	3.244207995
78	3.244174432
79	3.244137322
80	3.243923086
81	3.243722096
82	3.243544715
83	3.24334035
84	3.243156155
85	3.242890701
86	3.242649432
87	3.242453672
88	3.242271697
89	3.242073791
90	3.241891485
91	3.241679657
92	3.241485946
93	3.24129858
94	3.241094018
95	3.24090913
96	3.240682513
97	3.24062556
98	3.240434128
99	3.24023759
100	3.240113241
101	3.240000014
102	3.239832619
103	3.239646676
104	3.239470197
105	3.239293012
106	3.239058429
107	3.238860425
108	3.238723527
109	3.238566704
110	3.238535193
111	3.238350699
112	3.23819699
113	3.237876308
114	3.237707602
115	3.237542567
116	3.237513905
117	3.23735706
118	3.237194411
119	3.237150994
120	3.236975584
121	3.236809142
122	3.236774329
123	3.236742129
124	3.236713629
125	3.236550924
126	3.236392091
127	3.236238925
128	3.236099789
129	3.23607191
130	3.235897568
131	3.235740518
132	3.235593608
133	3.235412746
134	3.235261334
135	3.235224747
136	3.234942559
137	3.23466017
138	3.234539253
139	3.234383742
140	3.234230426
141	3.234089775
142	3.234048324
143	3.233813811
144	3.233565594
145	3.233401517
146	3.233132239
147	3.233082026
148	3.232952729
149	3.232823506
150	3.232672146
151	3.232438341
152	3.23232047
153	3.232266678
154	3.232043975
155	3.231900117
156	3.231871757
157	3.231737442
158	3.231600301
159	3.231404226
160	3.231202623
161	3.231016707
162	3.230902234
163	3.230879094
164	3.230855245
165	3.230726146
166	3.230531384
167	3.230367733
168	3.230341895
169	3.230151235
170	3.229942617
