iter	Passed	Remaining
0	2	2296
1	5	2161
2	8	2203
3	11	2228
4	13	2175
5	16	2167
6	19	2166
7	21	2121
8	23	2070
9	25	2028
10	27	2007
11	30	1994
12	33	2004
13	35	1982
14	37	1975
15	39	1959
16	42	1950
17	44	1932
18	46	1928
19	49	1927
20	51	1922
21	54	1923
22	56	1909
23	58	1896
24	60	1888
25	63	1890
26	66	1894
27	68	1884
28	70	1878
29	73	1873
30	75	1868
31	77	1859
32	80	1863
33	82	1864
34	85	1866
35	87	1861
36	90	1858
37	92	1858
38	94	1849
39	96	1842
40	99	1836
41	101	1829
42	103	1825
43	106	1821
44	108	1821
45	111	1819
46	113	1822
47	116	1818
48	118	1815
49	120	1810
50	123	1808
51	125	1806
52	127	1801
53	130	1797
54	132	1792
55	134	1786
56	136	1781
57	138	1777
58	141	1773
59	143	1769
60	146	1770
61	148	1770
62	151	1766
63	153	1762
64	155	1756
65	157	1754
66	160	1755
67	162	1754
68	165	1753
69	168	1754
70	170	1752
71	173	1751
72	175	1750
73	178	1750
74	181	1755
75	183	1749
76	185	1744
77	187	1739
78	190	1735
79	192	1732
80	195	1732
81	197	1730
82	199	1725
83	202	1724
84	204	1719
85	206	1717
86	209	1713
87	211	1713
88	214	1709
89	216	1707
90	218	1704
91	220	1699
92	223	1696
93	225	1692
94	227	1689
95	230	1690
96	232	1688
97	235	1685
98	238	1685
99	240	1682
100	242	1681
101	245	1678
102	247	1674
103	249	1670
104	252	1670
105	254	1668
106	257	1667
107	260	1667
108	262	1665
109	265	1663
110	268	1668
111	289	1776
112	293	1782
113	297	1791
114	300	1791
115	304	1792
116	307	1793
117	310	1794
118	313	1794
119	316	1795
120	320	1796
121	323	1795
122	325	1793
123	328	1792
124	331	1790
125	334	1789
126	337	1790
127	340	1790
128	343	1786
129	346	1783
130	349	1782
131	351	1780
132	354	1780
133	358	1782
134	361	1779
135	363	1776
136	366	1773
137	369	1772
138	372	1772
139	375	1771
140	378	1770
141	381	1767
142	383	1764
143	388	1767
144	391	1767
145	393	1763
146	395	1759
147	398	1754
148	400	1750
149	403	1747
150	405	1744
151	408	1740
152	410	1736
153	412	1731
154	414	1726
155	417	1722
156	419	1717
157	421	1714
158	424	1709
159	426	1705
160	429	1706
161	432	1703
162	435	1701
163	439	1702
164	442	1703
165	446	1704
166	449	1705
167	453	1705
168	456	1705
169	459	1703
170	463	1705
171	467	1708
172	471	1708
173	474	1707
174	476	1703
175	479	1700
176	481	1696
177	484	1692
178	486	1688
179	489	1684
180	491	1680
181	493	1676
182	495	1671
183	498	1668
184	500	1664
185	503	1660
186	505	1657
187	507	1653
188	510	1649
189	512	1644
190	514	1640
191	517	1637
192	519	1634
193	522	1631
194	524	1627
195	526	1623
196	529	1621
197	532	1618
198	534	1615
199	537	1612
200	539	1608
201	542	1604
202	544	1600
203	546	1596
204	548	1593
205	552	1591
206	554	1589
207	557	1585
208	559	1581
209	561	1578
210	564	1574
211	566	1571
212	569	1569
213	571	1566
214	574	1562
215	576	1559
216	579	1557
217	583	1556
218	585	1554
219	589	1553
220	591	1550
221	594	1547
222	597	1545
223	600	1543
224	603	1541
225	607	1543
226	610	1539
227	612	1536
228	614	1533
229	617	1529
230	619	1525
231	621	1522
232	624	1518
233	626	1514
234	628	1510
235	630	1507
236	633	1504
237	635	1501
238	638	1498
239	640	1495
240	643	1491
241	645	1487
242	647	1484
243	650	1481
244	652	1477
245	654	1474
246	656	1470
247	659	1467
248	661	1463
249	663	1459
250	666	1456
251	668	1454
252	671	1451
253	673	1448
254	676	1444
255	678	1441
256	680	1437
257	682	1434
258	684	1430
259	688	1429
260	690	1426
261	692	1422
262	695	1419
263	698	1417
264	700	1414
265	702	1410
266	704	1407
267	707	1403
268	709	1400
269	711	1397
270	714	1394
271	716	1391
272	719	1388
273	721	1385
274	724	1382
275	726	1379
276	729	1377
277	731	1374
278	734	1371
279	737	1368
280	739	1365
281	741	1362
282	744	1359
283	746	1356
284	748	1353
285	751	1349
286	753	1347
287	756	1344
288	758	1340
289	760	1337
290	763	1334
291	765	1331
292	767	1328
293	770	1325
294	772	1322
295	774	1319
296	777	1316
297	779	1313
298	782	1310
299	784	1307
300	786	1303
301	788	1301
302	791	1297
303	793	1294
304	796	1292
305	798	1289
306	801	1286
307	803	1283
308	805	1280
309	808	1277
310	810	1274
311	812	1271
312	814	1267
313	817	1264
314	819	1261
315	821	1258
316	824	1256
317	826	1253
318	829	1250
319	831	1247
320	833	1244
321	836	1241
322	838	1238
323	840	1235
324	843	1232
325	845	1229
326	847	1225
327	849	1222
328	851	1219
329	854	1216
330	856	1213
331	859	1211
332	861	1208
333	864	1205
334	866	1202
335	868	1199
336	870	1196
337	873	1193
338	875	1190
339	878	1188
340	880	1185
341	882	1182
342	885	1179
343	887	1176
344	890	1173
345	892	1170
346	894	1168
347	897	1165
348	899	1162
349	901	1159
350	903	1156
351	906	1153
352	908	1150
353	910	1147
354	913	1144
355	916	1143
356	919	1141
357	922	1138
358	925	1136
359	927	1133
360	930	1131
361	932	1128
362	935	1126
363	938	1124
364	942	1122
365	946	1122
366	950	1121
367	957	1123
368	961	1123
369	968	1125
370	973	1126
371	984	1132
372	990	1134
373	998	1137
374	1001	1135
375	1005	1133
376	1015	1139
377	1020	1139
378	1023	1136
379	1027	1136
380	1031	1134
381	1033	1131
382	1036	1128
383	1040	1127
384	1045	1127
385	1048	1124
386	1051	1121
387	1055	1120
388	1058	1118
389	1061	1116
390	1064	1113
391	1067	1111
392	1070	1108
393	1073	1106
394	1077	1105
395	1080	1102
396	1083	1100
397	1087	1098
398	1090	1095
399	1093	1093
400	1096	1090
401	1099	1088
402	1102	1086
403	1105	1083
404	1109	1082
405	1113	1080
406	1116	1077
407	1118	1074
408	1122	1073
409	1125	1070
410	1128	1067
411	1130	1065
412	1133	1062
413	1137	1060
414	1140	1057
415	1143	1055
416	1146	1052
417	1149	1050
418	1151	1047
419	1153	1043
420	1156	1040
421	1158	1037
422	1161	1035
423	1164	1033
424	1168	1030
425	1171	1028
426	1174	1026
427	1177	1023
428	1180	1020
429	1183	1018
430	1187	1016
431	1190	1013
432	1192	1010
433	1194	1007
434	1197	1004
435	1200	1002
436	1202	999
437	1205	996
438	1207	993
439	1210	990
440	1212	987
441	1215	984
442	1217	981
443	1219	977
444	1221	974
445	1224	971
446	1226	968
447	1229	966
448	1232	963
449	1234	960
450	1237	957
451	1239	954
452	1242	952
453	1245	949
454	1248	946
455	1251	943
456	1253	941
457	1256	938
458	1258	935
459	1261	932
460	1263	929
461	1265	925
462	1267	922
463	1270	919
464	1272	916
465	1275	913
466	1277	911
467	1280	908
468	1282	904
469	1284	902
470	1287	899
471	1289	896
472	1292	893
473	1294	890
474	1297	887
475	1300	885
476	1302	882
477	1305	879
478	1307	876
479	1310	873
480	1312	870
481	1314	867
482	1317	864
483	1319	861
484	1321	858
485	1324	855
486	1327	853
487	1330	850
488	1333	848
489	1336	845
490	1338	842
491	1341	840
492	1344	837
493	1346	834
494	1349	831
495	1351	828
496	1354	825
497	1356	822
498	1358	819
499	1361	816
500	1363	813
501	1366	810
502	1368	807
503	1371	805
504	1373	802
505	1376	799
506	1378	796
507	1381	793
508	1383	791
509	1386	788
510	1388	785
511	1390	782
512	1393	779
513	1395	776
514	1398	773
515	1400	770
516	1403	768
517	1405	765
518	1408	762
519	1410	759
520	1412	756
521	1415	753
522	1417	750
523	1419	747
524	1421	744
525	1424	741
526	1426	739
527	1429	736
528	1431	733
529	1434	730
530	1436	727
531	1439	725
532	1442	722
533	1444	719
534	1447	717
535	1450	714
536	1452	711
537	1455	708
538	1457	705
539	1459	702
540	1462	699
541	1464	697
542	1467	694
543	1470	691
544	1472	689
545	1474	686
546	1477	683
547	1479	680
548	1481	677
549	1483	674
550	1485	671
551	1488	668
552	1491	666
553	1494	663
554	1498	661
555	1502	659
556	1505	656
557	1509	654
558	1518	654
559	1523	652
560	1528	651
561	1533	649
562	1538	647
563	1544	646
564	1555	646
565	1563	646
566	1568	644
567	1573	642
568	1577	640
569	1581	638
570	1585	635
571	1589	633
572	1592	630
573	1595	628
574	1598	625
575	1601	622
576	1604	620
577	1607	617
578	1611	615
579	1614	612
580	1617	609
581	1619	606
582	1622	603
583	1625	601
584	1628	598
585	1630	595
586	1633	592
587	1636	590
588	1639	587
589	1641	584
590	1644	581
591	1648	579
592	1651	576
593	1654	573
594	1657	571
595	1660	568
596	1662	565
597	1665	562
598	1667	559
599	1670	556
600	1673	554
601	1676	551
602	1679	548
603	1682	545
604	1685	543
605	1687	540
606	1690	537
607	1693	534
608	1696	532
609	1699	529
610	1701	526
611	1705	523
612	1708	521
613	1711	518
614	1715	515
615	1718	513
616	1721	510
617	1726	508
618	1729	505
619	1732	503
620	1734	500
621	1737	497
622	1740	494
623	1743	491
624	1745	488
625	1748	486
626	1751	483
627	1753	480
628	1756	477
629	1758	474
630	1761	471
631	1763	468
632	1765	465
633	1768	462
634	1770	460
635	1773	457
636	1776	454
637	1778	451
638	1781	448
639	1783	445
640	1785	442
641	1787	440
642	1790	437
643	1792	434
644	1795	431
645	1797	428
646	1799	425
647	1802	422
648	1805	420
649	1807	417
650	1810	414
651	1813	411
652	1815	408
653	1817	405
654	1819	402
655	1822	399
656	1824	397
657	1827	394
658	1829	391
659	1831	388
660	1834	385
661	1836	382
662	1839	380
663	1841	377
664	1844	374
665	1847	371
666	1849	368
667	1851	365
668	1853	363
669	1856	360
670	1858	357
671	1860	354
672	1863	351
673	1865	348
674	1867	345
675	1870	343
676	1873	340
677	1875	337
678	1878	334
679	1881	331
680	1884	329
681	1887	326
682	1889	323
683	1891	320
684	1893	317
685	1896	315
686	1899	312
687	1902	309
688	1904	306
689	1906	303
690	1909	301
691	1912	298
692	1914	295
693	1916	292
694	1919	289
695	1921	287
696	1923	284
697	1925	281
698	1928	278
699	1930	275
700	1933	272
701	1935	270
702	1938	267
703	1940	264
704	1943	261
705	1946	259
706	1948	256
707	1950	253
708	1952	250
709	1955	247
710	1957	245
711	1960	242
712	1962	239
713	1964	236
714	1967	233
715	1969	231
716	1971	228
717	1974	225
718	1976	222
719	1978	219
720	1981	217
721	1983	214
722	1985	211
723	1987	208
724	1990	205
725	1992	203
726	1994	200
727	1997	197
728	2000	194
729	2002	192
730	2005	189
731	2007	186
732	2010	183
733	2012	180
734	2014	178
735	2017	175
736	2019	172
737	2022	169
738	2025	167
739	2027	164
740	2029	161
741	2032	158
742	2034	156
743	2036	153
744	2039	150
745	2041	147
746	2044	145
747	2046	142
748	2049	139
749	2051	136
750	2053	133
751	2055	131
752	2057	128
753	2060	125
754	2062	122
755	2065	120
756	2067	117
757	2069	114
758	2071	111
759	2073	109
760	2076	106
761	2078	103
762	2080	100
763	2082	98
764	2084	95
765	2087	92
766	2090	89
767	2093	87
768	2096	84
769	2098	81
770	2101	79
771	2104	76
772	2107	73
773	2110	70
774	2113	68
775	2115	65
776	2117	62
777	2119	59
778	2122	57
779	2124	54
780	2127	51
781	2129	49
782	2131	46
783	2134	43
784	2136	40
785	2139	38
786	2142	35
787	2147	32
788	2151	29
789	2155	27
790	2159	24
791	2163	21
792	2168	19
793	2172	16
794	2176	13
795	2180	10
796	2183	8
797	2187	5
798	2191	2
799	2195	0
