iter	RMSE
0	3.231621552
1	3.231513887
2	3.231425632
3	3.231347144
4	3.231257395
5	3.231149977
6	3.231037658
7	3.230927638
8	3.230804808
9	3.230730841
10	3.23066465
11	3.230582511
12	3.230458696
13	3.230368795
14	3.230274321
15	3.230202698
16	3.230087253
17	3.229969975
18	3.229902979
19	3.22983998
20	3.229746882
21	3.229659143
22	3.229577564
23	3.229457727
24	3.229374329
25	3.229287372
26	3.229170856
27	3.229084856
28	3.228992273
29	3.228914278
30	3.228852736
31	3.228744898
32	3.2286972
33	3.228630658
34	3.228515754
35	3.228429041
36	3.228347513
37	3.228249796
38	3.228185299
39	3.228125758
40	3.228064182
41	3.228004598
42	3.227920374
43	3.227829735
44	3.227749163
45	3.227691988
46	3.227612683
47	3.227533152
48	3.227462792
49	3.227402112
50	3.227336373
51	3.227261887
52	3.227155625
53	3.227089018
54	3.22703237
55	3.22693924
56	3.226851118
57	3.22678122
58	3.226704057
59	3.226634438
60	3.226576002
61	3.226505226
62	3.226438615
63	3.226385365
64	3.226312933
65	3.22625194
66	3.226168759
67	3.226087641
68	3.226029013
69	3.225981081
70	3.225906586
71	3.22584455
72	3.225791441
73	3.225731447
74	3.225661462
75	3.225610982
76	3.2255395
77	3.22547471
78	3.225423623
79	3.225360456
80	3.225285753
81	3.225209351
82	3.225161229
83	3.225114662
84	3.225052286
85	3.224982803
86	3.224899696
87	3.224851342
88	3.22479225
89	3.224734722
90	3.224677953
91	3.224629206
92	3.224572236
93	3.224498029
94	3.224451028
95	3.224405688
96	3.224367551
97	3.224307478
98	3.224275426
99	3.224204624
100	3.224158306
101	3.22408923
102	3.224029566
103	3.223963333
104	3.223921981
105	3.22387435
106	3.223833173
107	3.223778062
108	3.223709557
109	3.223667006
110	3.223613396
111	3.223571677
112	3.223504655
113	3.223458017
114	3.223378014
115	3.223331557
116	3.223286143
117	3.223222021
118	3.223181033
119	3.223130684
120	3.223097491
121	3.223049028
122	3.22300218
123	3.222956179
124	3.222912814
125	3.222864257
126	3.222808466
127	3.222763842
128	3.2227264
129	3.222678082
130	3.222641195
131	3.222576855
132	3.222542257
133	3.222473216
134	3.222431377
135	3.222375657
136	3.222317286
137	3.222265295
138	3.222229571
139	3.222197977
140	3.222163418
141	3.222099461
142	3.222060231
143	3.222025938
144	3.221977232
145	3.221926977
146	3.221865572
147	3.221825145
148	3.221807715
149	3.221748843
150	3.221686958
151	3.221649223
152	3.221615004
153	3.221575529
154	3.221528848
155	3.221482761
156	3.221433915
157	3.221362293
158	3.221331805
159	3.221275098
160	3.221220114
161	3.221164455
162	3.221131974
163	3.221096131
164	3.221063499
165	3.221008653
166	3.220976862
167	3.220935602
168	3.220918193
169	3.220887478
170	3.220857238
171	3.220825767
172	3.220795396
173	3.220758401
174	3.220727735
175	3.220695978
176	3.220663597
177	3.220634269
178	3.22060128
179	3.220556881
180	3.220524884
181	3.220478896
182	3.220437923
183	3.220402487
184	3.220371384
185	3.22034085
186	3.220300336
187	3.220253102
188	3.220224477
189	3.220196418
190	3.220158046
191	3.22010804
192	3.220057377
193	3.220021087
194	3.21997397
195	3.219944581
196	3.21990212
197	3.219869632
198	3.219832785
199	3.219772933
200	3.219745958
201	3.219717555
202	3.219662142
203	3.219624753
204	3.219609302
205	3.219576895
206	3.219533508
207	3.219500671
208	3.219450148
209	3.219419649
210	3.219382725
211	3.219326926
212	3.219295098
213	3.219268105
214	3.219230166
215	3.219204667
216	3.219172227
217	3.21912493
218	3.21909953
219	3.219067982
220	3.219043595
221	3.219007251
222	3.218982173
223	3.218950137
224	3.218922766
225	3.218888507
226	3.218853245
227	3.218808819
228	3.218782681
229	3.218744419
230	3.21871871
231	3.21869482
232	3.218669062
233	3.218639424
234	3.218590156
235	3.218546306
236	3.218517103
237	3.218486683
238	3.218463569
239	3.218433214
240	3.21839651
241	3.218368326
242	3.218323148
243	3.218297409
244	3.218265276
245	3.218222688
246	3.218200179
247	3.218177416
248	3.218135942
249	3.218115188
250	3.218079812
251	3.218057649
252	3.218035701
253	3.218009243
254	3.217976541
255	3.217953342
256	3.217923704
257	3.217894879
258	3.217856045
259	3.21781606
260	3.2177953
261	3.217774148
262	3.217754157
263	3.217734006
264	3.217714334
265	3.217681683
266	3.217660326
267	3.217618769
268	3.217593261
269	3.217561566
270	3.217527513
271	3.217493925
272	3.217466432
273	3.217439626
274	3.217418039
275	3.217383407
276	3.217360857
277	3.217336536
278	3.21729645
279	3.217277436
280	3.217256365
281	3.217224393
282	3.217216529
283	3.217192114
284	3.217169417
285	3.217147493
286	3.217105977
287	3.217081681
288	3.217063622
289	3.217033607
290	3.217013992
291	3.21699269
292	3.216947689
293	3.216928879
294	3.216911463
295	3.216893823
296	3.216863714
297	3.216836523
298	3.216819664
299	3.216780964
300	3.216759871
301	3.216740856
302	3.216712673
303	3.216695953
304	3.216670764
305	3.216632312
306	3.21661193
307	3.216594822
308	3.216577321
309	3.216553438
310	3.216535923
311	3.216514096
312	3.216476289
313	3.216458328
314	3.216433513
315	3.216414866
316	3.216394514
317	3.21637863
318	3.216351519
319	3.216335741
320	3.216325103
321	3.216307932
322	3.216290258
323	3.216272286
324	3.216256555
325	3.216240505
326	3.216212828
327	3.216196879
328	3.21618113
329	3.216164283
330	3.216146913
331	3.216124468
332	3.216101296
333	3.216092121
334	3.216071754
335	3.216036356
336	3.215994761
337	3.215977471
338	3.215932095
339	3.215917262
340	3.215884722
341	3.215869937
342	3.215853187
343	3.215837839
344	3.215832197
345	3.215813552
346	3.215797206
347	3.215778165
348	3.215760625
349	3.215740316
350	3.215724681
351	3.215702472
352	3.215687903
353	3.215655089
354	3.215641037
355	3.215627017
356	3.215610758
357	3.215596856
358	3.215584746
359	3.215552021
360	3.215529933
361	3.215513046
362	3.215496962
363	3.215471722
364	3.215458315
365	3.215441383
366	3.215420927
367	3.215402472
368	3.215389031
369	3.215374679
370	3.215357029
371	3.215351127
372	3.215324842
373	3.215305388
374	3.215281623
375	3.215262756
376	3.215248814
377	3.215234504
378	3.2152214
379	3.215201362
380	3.21518805
381	3.215147237
382	3.215128129
383	3.215112104
384	3.215098707
385	3.215082907
386	3.215058827
387	3.215041068
388	3.215023707
389	3.215008856
390	3.214983032
391	3.21496128
392	3.214922762
393	3.214902977
394	3.214882757
395	3.214864754
396	3.214851147
397	3.214837229
398	3.214825588
399	3.214811221
400	3.214784109
401	3.214771348
402	3.214759791
403	3.214743019
404	3.214728388
405	3.214694838
406	3.214682265
407	3.214662275
408	3.214631931
409	3.21461493
410	3.214583108
411	3.214571515
412	3.214552949
413	3.214540708
414	3.214523937
415	3.214504201
416	3.214492204
417	3.214474767
418	3.214434718
419	3.214423311
420	3.214384592
421	3.214372217
422	3.21435586
423	3.214337274
424	3.214324208
425	3.214312441
426	3.214284302
427	3.214268172
428	3.214256654
429	3.214244864
430	3.214231871
431	3.214228147
432	3.214217933
433	3.21419717
434	3.214167292
435	3.214154346
436	3.214138169
437	3.21411951
438	3.214107644
439	3.214097797
440	3.214080802
441	3.214069594
442	3.214058919
443	3.214048266
444	3.214029012
445	3.214024308
446	3.214010299
447	3.213998922
448	3.213978755
449	3.213958566
450	3.213935767
451	3.213918265
452	3.213901307
453	3.213867145
454	3.213856165
455	3.21384293
456	3.213832913
457	3.213819401
458	3.213786688
459	3.213776405
460	3.213761468
461	3.213749625
462	3.213728567
463	3.213718233
464	3.213703347
465	3.213693539
466	3.213674581
467	3.213660706
468	3.213650984
469	3.213634481
470	3.21362032
471	3.213602368
472	3.213591274
473	3.213575887
474	3.213559012
475	3.213547555
476	3.21353404
477	3.213518015
478	3.213508732
479	3.213488957
480	3.213484736
481	3.213477734
482	3.213468147
483	3.21345019
484	3.213444194
485	3.213416613
486	3.213404706
487	3.213388722
488	3.213375708
489	3.213362234
490	3.213352205
491	3.213338098
492	3.213328805
493	3.213320227
494	3.213311346
495	3.213294422
496	3.213264688
497	3.213253918
498	3.21324403
499	3.213231082
500	3.213215873
501	3.213203447
502	3.213188896
503	3.213184233
504	3.213167747
505	3.213150739
506	3.213141295
507	3.213120345
508	3.213111106
509	3.213101202
510	3.213078053
511	3.213069312
512	3.213060692
513	3.213040838
514	3.21302472
515	3.213017487
516	3.213009608
517	3.212994964
518	3.212986521
519	3.212975628
520	3.212967474
521	3.212947385
522	3.212939436
523	3.212924032
524	3.212912059
525	3.212897652
526	3.212890064
527	3.21287397
528	3.212862734
529	3.212850307
530	3.212836354
531	3.212827296
532	3.212819275
533	3.212805251
534	3.212797505
535	3.212785868
536	3.212769115
537	3.21276076
538	3.212751419
539	3.212742252
540	3.212737835
541	3.212721667
542	3.212693034
543	3.212681558
544	3.212639394
545	3.212630939
546	3.21262252
547	3.212603653
548	3.212595294
549	3.212586562
550	3.212566877
551	3.212563225
552	3.212554697
553	3.21253662
554	3.212522311
555	3.212510636
556	3.212503509
