iter	Passed	Remaining
0	6	6922
1	12	6044
2	16	5556
3	21	5368
4	26	5235
5	30	5116
6	35	5032
7	40	5005
8	45	4983
9	49	4935
10	54	4870
11	58	4845
12	63	4832
13	68	4816
14	72	4770
15	77	4772
16	82	4751
17	88	4832
18	93	4827
19	97	4796
20	102	4776
21	106	4741
22	111	4718
23	115	4699
24	119	4651
25	123	4608
26	127	4579
27	130	4534
28	134	4503
29	138	4480
30	142	4467
31	146	4441
32	150	4419
33	154	4394
34	158	4361
35	161	4331
36	165	4303
37	169	4279
38	173	4263
39	177	4254
40	180	4231
41	185	4222
42	188	4202
43	194	4230
44	201	4269
45	207	4308
46	214	4339
47	221	4391
48	229	4451
49	237	4512
50	245	4562
51	255	4657
52	268	4803
53	278	4874
54	287	4936
55	294	4969
56	309	5115
57	318	5171
58	342	5465
59	349	5479
60	357	5508
61	364	5508
62	371	5521
63	377	5523
64	384	5530
65	392	5550
66	399	5564
67	408	5593
68	414	5597
69	422	5607
70	426	5576
71	432	5571
72	437	5551
73	441	5528
74	449	5545
75	463	5631
76	471	5657
77	478	5657
78	487	5679
79	492	5662
80	499	5661
81	504	5644
82	509	5633
83	514	5615
84	519	5593
85	524	5574
86	529	5551
87	533	5529
88	538	5512
89	543	5490
90	547	5470
91	552	5449
92	557	5437
93	563	5427
94	567	5403
95	572	5388
96	576	5367
97	582	5359
98	587	5344
99	591	5325
100	597	5316
101	601	5297
102	606	5278
103	612	5273
104	616	5257
105	621	5243
106	626	5227
107	632	5222
108	637	5208
109	641	5193
110	646	5179
111	650	5161
112	655	5147
113	660	5134
114	665	5123
115	670	5111
116	675	5096
117	680	5083
118	684	5066
119	689	5059
120	695	5053
121	700	5039
122	705	5028
123	710	5017
124	714	5003
125	720	4994
126	724	4982
127	729	4969
128	734	4957
129	738	4943
130	743	4930
131	747	4916
132	753	4909
133	759	4907
134	765	4904
135	769	4891
136	774	4880
137	779	4867
138	784	4858
139	790	4854
140	796	4854
141	802	4847
142	806	4835
143	811	4821
144	815	4808
145	820	4798
146	824	4783
147	828	4770
148	833	4761
149	838	4750
150	843	4740
151	847	4729
152	853	4723
153	858	4714
154	862	4702
155	867	4693
156	872	4682
157	876	4672
158	880	4658
159	886	4652
160	892	4649
161	901	4664
162	907	4657
163	915	4668
164	920	4658
165	925	4647
166	929	4634
167	933	4623
168	940	4622
169	944	4612
170	948	4600
171	953	4591
172	958	4580
173	962	4569
174	966	4557
175	971	4548
176	975	4536
177	980	4526
178	984	4514
179	989	4509
180	994	4501
181	999	4491
182	1004	4483
183	1008	4474
184	1013	4463
185	1017	4453
186	1022	4444
187	1026	4434
188	1031	4426
189	1037	4421
190	1041	4410
191	1046	4403
192	1050	4394
193	1055	4384
194	1059	4375
195	1064	4367
196	1069	4357
197	1073	4348
198	1078	4339
199	1082	4329
200	1086	4319
201	1091	4311
202	1097	4307
203	1102	4303
204	1107	4295
205	1112	4286
206	1116	4277
207	1121	4268
208	1125	4259
209	1129	4250
210	1134	4241
211	1138	4232
212	1143	4223
213	1147	4214
214	1151	4205
215	1156	4196
216	1160	4186
217	1165	4179
218	1170	4173
219	1174	4165
220	1179	4156
221	1183	4147
222	1187	4139
223	1192	4129
224	1196	4121
225	1201	4114
226	1205	4106
227	1210	4097
228	1214	4090
229	1219	4083
230	1224	4075
231	1228	4067
232	1233	4060
233	1238	4052
234	1242	4044
235	1246	4036
236	1251	4028
237	1255	4020
238	1260	4015
239	1265	4008
240	1269	3999
241	1274	3991
242	1278	3983
243	1284	3978
244	1288	3971
245	1293	3963
246	1300	3964
247	1305	3959
248	1310	3953
249	1315	3946
250	1319	3938
251	1323	3929
252	1328	3921
253	1333	3915
254	1337	3907
255	1342	3900
256	1347	3896
257	1353	3892
258	1359	3888
259	1368	3894
260	1373	3889
261	1379	3886
262	1384	3881
263	1390	3877
264	1397	3875
265	1401	3867
266	1405	3858
267	1410	3852
268	1415	3846
269	1420	3841
270	1425	3835
271	1431	3830
272	1435	3823
273	1439	3814
274	1443	3806
275	1449	3802
276	1453	3794
277	1457	3785
278	1462	3779
279	1467	3773
280	1472	3766
281	1476	3759
